player_register_id,direction,gap_years,kbo_season,mlb_season,player,kbo_rel_bb_pct,mlb_rel_bb_pct,kbo_rel_era,mlb_rel_era,kbo_rel_h_pct,mlb_rel_h_pct,kbo_rel_hr_pct,mlb_rel_hr_pct,kbo_rel_k_pct,mlb_rel_k_pct,kbo_age,mlb_age,kbo_batters_faced,mlb_batters_faced,cohort,first_kbo,first_mlb,n_kbo,n_mlb
fedde-000eri,mlb_to_kbo,1,2023,2022,Erick Fedde,0.5408134384136825,1.2406653264822487,0.4821002909592892,1.4666677185839037,0.8389896942426377,1.1932216147993584,0.7735939907550078,1.2793984328331987,1.6649211759572504,0.7317804587809867,30,29,708.0,573.0,import_returnee,2023,2018,1.0,8.0
fedde-000eri,kbo_to_mlb,1,2023,2024,Erick Fedde,0.5408134384136825,0.875341446298522,0.4821002909592892,0.8101250344951985,0.8389896942426377,0.9718329365015954,0.7735939907550078,0.9217207501721447,1.6649211759572504,0.9394204196981097,30,31,708.0,1452.0,import_returnee,2023,2018,1.0,8.0
figaro001alf,mlb_to_kbo,2,2015,2013,Alfredo Fígaro,0.8005644647267642,0.5994273967628139,0.6938718593881048,1.0709027143433678,0.9200935185621963,1.0702056807906062,0.8733166084373508,1.8827756036489154,0.9143787504490071,0.8605889817212569,30,28,688.0,316.0,import_returnee,2015,2013,1.0,1.0
flande001yoh,mlb_to_kbo,1,2016,2015,Yohan Flande*,1.072287362739624,1.1020480083579636,1.4703003941824113,1.198869162164754,1.1031651681651682,1.0755387625311152,1.5304399354298206,1.769221452048912,1.0034815982881262,0.7123775353626338,30,29,330.0,296.0,import_returnee,2016,2014,1.0,2.0
flexen000chr,kbo_to_mlb,1,2020,2021,Chris Flexen,0.6774916593839106,0.6214218590670675,0.6325496163845032,0.8470203963848302,0.8592763361204495,1.149659555636127,0.5282744941989879,0.7843203230148048,1.6073910688027242,0.7277506852907568,25,26,472.0,741.0,import_returnee,2020,2017,1.0,6.0
font--001wil,mlb_to_kbo,2,2021,2019,Wilmer Font,0.7090712291444681,0.9558855339287671,0.7795935108648918,0.9973182900927662,0.8422633132820297,0.9720993427451395,0.9620835191984353,1.3144496272369102,1.429584774187514,1.1622911739910848,31,29,604.0,712.0,import_returnee,2021,2018,2.0,2.0
fyhrie001mic,mlb_to_kbo,2,2004,2002,Mike Fyhrie,0.8558677957394771,1.0836629742241342,0.7733733583184629,1.039110639703013,0.9478910724245504,0.9357536966690736,1.353562631445429,0.5219961063227501,1.0839480362776566,0.8131338340098636,34,32,759.0,212.0,import_returnee,2004,1999,1.0,4.0
gavigl001sam,mlb_to_kbo,2,2021,2019,Sam Gaviglio,0.8134454366633593,0.6585587176046889,1.3214406692873069,1.025697265827113,1.1188079079213888,0.9620527901448169,0.965738157448002,1.2639545635255283,1.0968269775645216,0.9777727684960448,31,29,351.0,392.0,import_returnee,2021,2017,1.0,3.0
german001jus,kbo_to_mlb,1,2011,2012,Justin Germano,0.3458765665004716,0.8217245818886396,0.6717071390927148,1.5476719975586957,1.0851606167599026,1.17676119748948,0.884006601133673,0.8165617399675719,0.9394568533844907,0.8216407922912206,28,29,181.0,640.0,import_returnee,2011,2007,2.0,3.0
glover001joh,mlb_to_kbo,1,2009,2008,Gary Glover,0.5941948761620892,1.0271168592814655,0.40842744322862984,1.2282733853286,0.8582881311437706,1.110128470519673,0.5093098938532195,1.0945251119177857,1.271623275833265,0.8581961672615146,32,31,427.0,492.0,import_returnee,2009,2001,3.0,6.0
glynn-001rya,mlb_to_kbo,2,2003,2001,Ryan Glynn,0.7062826495038884,1.4044074355903227,1.1766454462777705,1.5967686405665946,1.1137212449255751,1.1479871847664096,0.7742615239887112,1.094980180740934,0.756321627830653,0.3952158789799331,28,26,250.0,219.0,import_returnee,2003,1999,1.0,3.0
gonzal001edg,mlb_to_kbo,1,2010,2009,Édgar González,1.0483240726295198,1.054097694279769,1.6766636962540977,1.277944200689296,1.0220464868128243,1.0925432598752267,0.8158674119839169,0.49637625882387276,0.6611139135542273,0.7264329342875226,27,26,206.0,299.0,import_returnee,2010,2004,1.0,6.0
greisi001set,mlb_to_kbo,1,2005,2004,Seth Greisinger,0.5635627530364373,0.7482248713266516,0.931347361402793,1.3862214810981415,0.9840215439856373,1.2358891673943133,0.8342465753424657,1.7813544469140994,1.1064056382145653,0.9152472436341043,29,28,320.0,233.0,import_returnee,2005,1998,2.0,3.0
hackma001lut,mlb_to_kbo,2,2005,2003,Luther Hackman,1.1649062492931943,1.2239384795418795,1.1383523158843805,1.1757534649212056,0.9528700239711945,0.9563862742913801,1.1185428943139206,0.7262131612897513,0.9719147968134112,0.8418410008956819,30,28,358.0,347.0,import_returnee,2005,2002,1.0,2.0
hale--001dav,kbo_to_mlb,1,2018,2019,David Hale,0.7555694238979485,0.523186196035688,0.8393719997013828,0.6911461980857793,0.9670451719643662,1.1021253694817505,0.9358815160810178,0.3506512306454403,1.0571135481744092,0.638071748752196,30,31,277.0,157.0,import_returnee,2018,2014,1.0,4.0
