key_mlbam,season,batters_faced,SO,BB,HR,H,ER,R,G,GS,SV,W,L,age,IP
429715,2004,134,16,22,9,35,29,31,6,6,0,1,3,21,26.0
429715,2007,40,5,5,2,10,7,7,2,2,0,0,0,24,8.2
429715,2012,888,142,64,20,196,98,106,56,30,0,12,8,29,215.1
429715,2013,422,80,44,24,92,54,54,92,6,0,4,4,30,100.2
429984,2004,118,21,14,5,29,15,18,26,0,0,2,1,27,25.0
429984,2005,199,36,17,10,46,30,32,29,1,0,1,0,28,44.2
429984,2006,426,89,33,12,89,40,41,83,0,1,6,4,29,102.1
429984,2007,764,128,88,24,156,70,82,166,0,0,10,10,30,172.2
429984,2008,184,46,24,7,41,26,30,41,0,0,2,0,31,38.2
429984,2010,24,6,4,1,4,4,4,6,0,0,0,0,33,5.2
429984,2011,402,58,62,22,100,64,68,78,0,0,4,12,34,80.2
430588,2006,411,70,41,18,87,45,46,40,11,0,3,3,23,96.1
430588,2008,49,12,2,2,17,10,10,11,0,0,0,1,25,10.2
430588,2009,161,23,19,4,36,12,13,8,7,0,3,3,26,36.2
430588,2010,185,38,22,10,37,28,28,40,1,0,2,4,27,42.0
430597,2007,104,9,12,6,39,30,30,6,6,0,0,4,25,18.0
430597,2008,351,52,42,7,82,46,48,21,11,0,3,4,26,78.2
430597,2009,64,7,11,4,13,10,11,15,0,0,0,2,27,13.0
430597,2011,196,29,25,7,45,18,22,45,0,1,1,3,29,41.1
430638,2004,82,15,8,0,18,7,9,18,0,0,2,1,24,19.0
430638,2005,612,94,42,34,164,86,90,70,14,0,4,12,25,138.2
430638,2006,170,25,14,6,46,21,21,20,1,1,2,0,26,38.2
430638,2009,220,29,22,7,50,27,27,43,0,0,2,3,29,50.1
430638,2010,14,1,2,0,5,4,4,5,0,0,0,0,30,2.0
430638,2012,37,3,3,0,12,6,6,3,0,0,0,0,32,8.0
430642,2004,42,4,5,2,14,10,10,3,2,0,0,1,23,8.0
430642,2005,67,14,5,1,17,5,6,17,0,0,1,1,24,15.2
430642,2006,310,58,31,11,65,35,37,61,0,0,4,2,25,71.2
430642,2007,230,40,18,14,56,32,38,34,0,0,0,6,26,52.0
430642,2008,9,2,0,0,3,1,1,1,0,0,0,0,27,2.0
430654,2008,776,90,62,24,196,96,110,98,8,2,8,8,26,178.2
430654,2009,400,54,44,11,106,47,52,48,0,0,5,3,27,86.1
430654,2010,42,5,10,0,9,10,11,4,0,0,0,0,28,7.1
430675,2005,61,3,11,3,18,14,16,3,3,0,0,3,24,11.1
430675,2006,44,7,5,2,11,5,5,4,1,0,0,1,25,9.1
430675,2007,181,28,27,6,44,29,32,29,1,0,2,2,26,36.2
430675,2008,47,9,9,1,11,8,8,4,0,0,0,0,27,9.1
430675,2009,138,30,24,4,30,24,24,40,0,0,0,6,28,28.2
430675,2013,13,1,3,1,3,1,1,4,0,0,0,1,32,2.2
430680,2004,144,16,14,3,35,19,19,27,0,0,1,1,26,32.2
430680,2005,154,23,18,4,32,15,19,23,0,0,1,1,27,34.2
430680,2006,75,12,7,2,24,15,16,16,0,0,2,1,28,15.2
430680,2009,286,33,28,14,72,39,39,11,11,0,5,3,31,65.1
430683,2004,109,16,14,2,31,21,24,7,5,0,1,2,21,21.1
430683,2006,31,8,3,1,8,4,4,2,1,0,0,1,23,6.2
430683,2007,566,78,40,14,133,66,72,26,23,0,7,10,24,133.1
430683,2008,194,17,13,8,54,29,31,12,6,0,0,3,25,43.2
430683,2010,146,29,8,6,27,13,15,23,1,0,0,3,27,35.1
430683,2011,60,5,5,1,15,8,8,9,0,0,0,1,28,12.2
430683,2012,640,104,42,14,172,96,104,28,24,0,4,20,29,139.1
430683,2013,12,1,0,1,6,2,2,1,0,0,0,0,30,2.0
430683,2014,28,3,3,1,8,7,7,2,0,0,0,0,31,5.1
430684,2005,49,11,6,2,9,5,8,5,0,0,0,0,28,12.0
430950,2008,16,1,0,0,4,1,1,3,0,0,0,0,29,4.0
430950,2011,46,4,3,3,12,6,6,2,2,0,0,1,32,10.1
430962,2005,68,11,13,1,10,9,9,3,3,0,1,0,24,14.2
430962,2006,51,9,7,5,15,13,13,2,2,0,0,2,25,10.0
430962,2007,196,38,16,5,48,28,30,36,0,0,1,1,26,45.1
430962,2008,341,55,37,10,92,51,52,20,6,0,3,5,27,71.2
430962,2009,300,54,29,7,64,30,31,20,10,0,5,3,28,69.2
430962,2010,262,47,34,7,61,27,28,38,2,0,4,5,29,56.2
430968,2004,245,50,21,6,40,16,17,59,0,19,6,4,35,62.1
430968,2005,336,76,38,22,82,42,42,80,0,16,4,4,36,72.2
433657,2004,412,64,25,11,95,40,47,16,16,0,5,4,24,97.2
433657,2005,575,75,29,20,142,68,73,25,24,0,5,11,25,136.1
433657,2006,869,166,38,26,201,103,111,34,32,0,12,11,26,210.0
433657,2007,810,134,44,27,217,106,110,33,31,0,12,10,27,186.1
433657,2008,763,109,48,29,163,86,92,31,29,0,9,10,28,185.0
433657,2009,508,89,37,19,131,81,84,22,21,0,5,9,29,114.1
433657,2010,781,107,65,28,198,88,108,32,31,0,8,13,30,174.1
433657,2011,166,23,9,6,47,24,27,17,3,0,0,1,31,37.1
433657,2013,15,1,1,4,5,5,5,1,0,0,0,0,33,3.0
434629,2007,91,10,5,2,29,17,19,7,4,0,0,2,23,17.1
434629,2010,95,16,10,4,21,14,14,14,0,0,1,0,26,22.1
434629,2012,147,18,13,2,35,14,15,17,2,0,1,1,28,34.1
434679,2005,37,5,5,1,9,5,5,7,0,0,0,0,22,8.0
434679,2006,15,1,3,0,5,5,5,1,0,0,0,0,23,2.0
434679,2007,57,9,7,4,14,10,10,3,3,0,0,2,24,11.2
434679,2009,62,7,8,4,14,6,8,3,2,0,0,1,26,13.1
434679,2010,120,18,9,9,34,25,25,6,6,0,1,4,27,26.1
