key_mlbam,season,PA,AB,H,2B,3B,HR,SO,BB,IBB,HBP,SF,SH,TB,RBI,SB,CS,R,G,GIDP,age
673490,2023,626,538,140,23,0,17,124,75,1,3,5,5,214,60,38,9,84,152,7,27
673490,2024,470,403,94,16,3,11,77,58,4,2,3,4,149,47,22,5,60,121,8,28
673490,2025,382,342,80,8,0,10,78,32,0,4,4,0,118,34,12,4,38,96,4,29
673490,2026,128,114,14,1,0,0,33,13,0,1,0,0,15,9,2,0,8,46,1,30
676632,2022,123,113,20,7,0,1,31,10,0,0,0,0,30,7,2,1,10,39,0,26
676632,2023,30,26,4,1,0,0,7,4,0,0,0,0,5,0,0,0,4,12,0,27
676632,2024,75,67,18,3,0,1,20,6,0,0,1,0,24,5,0,0,8,21,0,28
676646,2021,10,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,6,0,27
676646,2022,34,34,9,1,0,0,10,0,0,0,0,0,10,3,0,1,3,16,0,28
676724,2022,22,19,5,2,0,0,7,3,0,0,0,0,7,0,1,0,2,6,0,26
676724,2023,47,43,8,0,3,2,13,3,0,1,0,0,20,8,2,0,8,16,1,27
676724,2025,47,43,8,1,0,4,16,2,0,1,1,0,21,6,0,0,5,23,1,29
676724,2026,342,308,82,17,3,9,63,25,0,6,3,0,132,39,3,1,46,103,4,30
676950,2022,114,100,14,0,0,0,34,12,0,0,2,0,14,12,0,0,4,44,4,27
688760,2025,148,130,26,4,0,10,56,12,0,2,4,0,60,24,0,0,20,40,0,28
808975,2025,170,161,45,6,1,3,52,7,0,1,0,1,62,17,13,1,19,71,0,26
808975,2026,131,116,30,3,1,1,31,12,0,0,2,0,38,11,5,1,16,43,2,27
808982,2024,158,145,38,4,0,2,13,10,0,1,2,0,48,8,2,3,15,37,2,25
808982,2025,617,560,149,31,12,8,71,47,0,6,4,0,228,55,10,3,73,150,2,26
808982,2026,571,532,146,30,4,10,57,28,1,7,4,0,214,56,12,1,65,141,6,27
823550,2026,145,123,23,4,0,1,28,18,1,0,1,3,30,16,13,4,19,73,3,29
